activity_date,period_role,period_start,period_end,period_days,period_label,source_type,site_location,equipment_type,operational_equipment_class,fleet_display_name,fleet_ident,fleet_specific,ahs_mode,tum_equipment_count,truck_count,source_truck_count_observed,operating_hours,operating_hours_per_truck,loading_unit_count,cycle_count,actual_tonnes,actual_tonnes_per_day,actual_tonnes_annualized_rate,actual_tonnes_per_truck_period,actual_tonnes_per_truck_day,quantity_reporting_avg,payload,payload_from_quantity_per_cycle,empty_distance_km,loaded_distance_km,empty_travel_minutes,loaded_travel_minutes,empty_speed_kph,loaded_speed_kph,queue_load_minutes,spot_load_minutes,truck_loading_minutes,queue_dump_minutes,spot_dump_minutes,dumping_minutes,cycle_time_minutes,cycle_seconds,rate_tph,modelled_tmm,modelled_tmm_per_day,modelled_tmm_annualized_rate,model_error_tonnes,model_error_pct,calendar_hours,not_required_hours,required_hours,scheduled_hours,scheduled_maintenance_hours,unscheduled_maintenance_hours,available_hours,operational_standby_hours,operating_delay_hours,working_hours,productive_hours,non_productive_hours,full_rate_productive_hours,availability_current,operating_of_available,working_of_available,productive_of_working,tum_required_balance_delta_hours,tum_scheduled_balance_delta_hours,tum_available_balance_delta_hours,tum_operating_balance_delta_hours,tum_working_balance_delta_hours,tum_productive_balance_delta_hours,cycle_balance_delta_minutes,source_quality_flag,source_quality_note
2025-07-01,plan_day,2025-07-01,2025-07-01,1,2025-07-01,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
2025-07-02,plan_day,2025-07-02,2025-07-02,1,2025-07-02,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
2025-07-03,plan_day,2025-07-03,2025-07-03,1,2025-07-03,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
2025-07-04,plan_day,2025-07-04,2025-07-04,1,2025-07-04,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
2025-07-05,plan_day,2025-07-05,2025-07-05,1,2025-07-05,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
2025-07-06,plan_day,2025-07-06,2025-07-06,1,2025-07-06,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
2025-07-07,plan_day,2025-07-07,2025-07-07,1,2025-07-07,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
2025-07-08,plan_day,2025-07-08,2025-07-08,1,2025-07-08,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
2025-07-09,plan_day,2025-07-09,2025-07-09,1,2025-07-09,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
2025-07-10,plan_day,2025-07-10,2025-07-10,1,2025-07-10,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
2025-07-11,plan_day,2025-07-11,2025-07-11,1,2025-07-11,mtp,Roy Hill Mine,Haulers,CAT 793,CAT793,,,Plan,48.477251303577624,48.477251303577624,48.477251303577624,774.4466463639795,15.975465306689642,,2204.3523463378647,526770.6202569377,526770.6202569377,192271276.39378226,10866.346710917209,10866.346710917209,238.96843040182412,238.96843040182412,238.96843040182412,2.8780749342118,2.8780749342118006,5.470118242711851,7.377180220255068,31.56869529882382,23.40792699879812,3.3768102558333806,0.7566198748030011,2.586806794835541,0.0,0.021744229159411994,1.4902900161016386,21.079569633699904,1264.7741780219942,680.1896847641103,526770.6202569377,526770.6202569377,192271276.39378226,0.0,0.0,1163.454031285863,,,,,,956.7928438260552,,,,,,,0.822372709275498,0.8094193548387094,,,,,,,,,1.0658141036401503e-14,plan,mtp_monthly_prorated_to_days_flat | wet_tonnes_basis | queue_all_to_load | truck_count_and_tum_from_planned_pa_ua | partial_tum_chain | synthetic_daily_detail | pa_ua_revision=Jul25
