"activity_date","source_type","fleet_display_name","ahs_mode","actual_tonnes","cycle_count","source_truck_count_observed","truck_count","calendar_hours","not_required_hours","required_hours","cyclone_standby_hours","scheduled_maintenance_hours","unscheduled_maintenance_hours","available_hours","operational_standby_hours","operating_hours","operating_delay_hours","payload_from_quantity_per_cycle","quantity_reporting_avg","payload","loaded_distance_km","loaded_speed_kph","empty_distance_km","empty_speed_kph","queue_load_minutes","spot_load_minutes","loaded_travel_minutes","truck_loading_minutes","queue_dump_minutes","spot_dump_minutes","dumping_minutes","empty_travel_minutes","plan_model_scope","source_gross_cycle_minutes","source_availability_pct"
"2025-01-04","weekly","CAT793","Plan","564646.5079193701","2352.693782988002","54.0",,"1296.0","0.0","1296.0","0.0","99.53280472755432","156.9764967899469","1039.490704536438","0.0","1039.490704536438","178.02240511932624","240.00000000095616","240.00000000095616","240.00000000095616","2.898363812551657","25.55482545162245","2.898363812551657","30.665302246736676","","0.8112741921461574","6.805048583967478","2.9996215277274056","","1.2793234623134364","0.707480891306243","5.670964119442377","working_net_combined_queue","19.975705671373213","0.8020761609077454"
"2025-01-04","weekly","EH4000","Plan","158052.59712518798","687.1852049040001","18.0",,"432.0","0.0","432.0","0.0","24.105599284172058","27.410502750745124","380.4838972091675","0.0","380.4838972091675","95.12097430229187","229.99999999602431","229.99999999602431","229.99999999602431","3.7717916693891618","26.886262844736926","3.7717916693891618","33.096457027148105","","0.5355064113545032","8.41721668311556","3.047731595119634","","0.8828458506031021","0.8999999999999997","6.8378165063926915","working_net_combined_queue","22.447822123870267","0.8807497620582581"
"2025-01-04","weekly","EH5000","Plan","378385.5838390609","1295.8410405000002","24.0",,"576.0","0.0","576.0","0.0","32.256000995635986","115.7630962083172","427.9808921813965","0.0","427.9808921813965","72.75675243612687","292.0000000100791","292.0000000100791","292.0000000100791","2.108599813241693","23.890516885450275","2.108599813241693","29.369416589078035","","0.659552240295487","5.295657243462654","2.3076228228792477","","0.703706798894456","1.22","4.307746066755396","working_net_combined_queue","16.44757981186168","0.7430223822593689"
"2025-01-05","weekly","CAT793","Plan","545612.3717836601","2273.3848824320003","54.0",,"1296.0","0.0","1296.0","0.0","99.53280472755432","156.9764967899469","1039.490704536438","0.0","1039.490704536438","178.02240511932624","239.99999999999125","239.99999999999125","239.99999999999125","2.5556440203760467","25.802238866507075","2.5556440203760467","30.624072905302484","","0.8204882862181845","5.942842480293677","3.0815997997999522","","1.2716652911312538","0.7080366214663637","5.0071276180906885","working_net_combined_queue","18.541210134881055","0.8020761609077454"
"2025-01-05","weekly","EH4000","Plan","144624.31932657096","628.801388373","18.0",,"432.0","0.0","432.0","0.0","24.105599284172058","27.410502750745124","380.4838972091675","0.0","380.4838972091675","95.12097430229187","230.00000000124197","230.00000000124197","230.00000000124197","3.2461698132749466","26.714325987522013","3.2461698132749466","32.65620694943008","","0.5372191180287075","7.2908516908669885","3.0822261813218668","","0.9806863304087831","0.8999999999999999","5.964262447813032","working_net_combined_queue","20.503166339417973","0.8807497620582581"
"2025-01-05","weekly","EH5000","Plan","419993.7535994001","1438.3347725360002","24.0",,"576.0","0.0","576.0","0.0","32.256000995635986","115.7630962083172","427.9808921813965","0.0","427.9808921813965","72.75675243612687","292.0000000131319","292.0000000131319","292.0000000131319","1.677147191747962","23.49147840114599","1.677147191747962","27.683545606431093","","0.6500895398433375","4.283631272009203","2.3813748120923286","","0.7112548172546287","1.2200000000000002","3.6349690511283677","working_net_combined_queue","14.81814202392084","0.7430223822593689"
"2025-01-06","weekly","CAT793","Plan","553614.6977231139","2306.7279071530006","54.0",,"1296.0","0.0","1296.0","0.0","99.53280472755432","156.9764967899469","1039.490704536438","0.0","1039.490704536438","178.02240511932624","240.0000000027718","240.0000000027718","240.0000000027718","2.8401757775157215","24.862604800135863","2.8401757775157215","29.859436498568126","","0.8487176013286627","6.854090632129265","2.9944246656072653","","1.264783932095269","0.7108949394712223","5.707091848806829","working_net_combined_queue","20.15463560788513","0.8020761609077454"
"2025-01-06","weekly","EH4000","Plan","172200.96923748995","748.699866252","18.0",,"432.0","0.0","432.0","0.0","24.105599284172058","27.410502750745124","380.4838972091675","0.0","380.4838972091675","95.12097430229187","229.99999999937216","229.99999999937216","229.99999999937216","2.8361634795192137","26.03394404409452","2.8361634795192137","31.88369013642015","","0.5389307119883997","6.536459035286041","3.3373384852820456","","1.0514374459531954","0.9000000000000001","5.337205575736386","working_net_combined_queue","19.370558502351987","0.8807497620582581"
"2025-01-06","weekly","EH5000","Plan","402231.9625143728","1377.5067209279998","24.0",,"576.0","0.0","576.0","0.0","32.256000995635986","115.7630962083172","427.9808921813965","0.0","427.9808921813965","72.75675243612687","292.0000000024659","292.0000000024659","292.0000000024659","1.8501037585836786","23.239460038421683","1.8501037585836786","28.155269589807336","","0.6277072073382028","4.776626708688355","2.3400043979191305","","0.6676389744330193","1.2200000000000002","3.9426447387030796","working_net_combined_queue","15.472482721451813","0.7430223822593689"
"2025-01-07","weekly","CAT793","Plan","602415.810556005","2510.065877208","54.0",,"1296.0","0.0","1296.0","0.0","99.53280472755432","156.9764967899469","1039.490704536438","0.0","1039.490704536438","178.02240511932624","240.00000001039214","240.00000001039214","240.00000001039214","2.927726680376137","24.89302315465991","2.927726680376137","29.688884643324","","0.8500881344476208","7.0567403457255224","2.789443252163293","","1.3329325599362283","0.7115178233904793","5.916813748072846","working_net_combined_queue","20.449277261298356","0.8020761609077454"
