period_start,period_end,period_days,period_label,source_type,site_location,equipment_type,operational_equipment_class,fleet_ident,fleet_specific,fleet_display_name,ahs_mode,material_destination_class,quantity_tonnes,cycle_count,truck_count,quantity_share,classification_rule,quality_flag
2026-01-01,2026-01-31,31,Jan 2026 Actual,actual,Roy Hill Mine,Haulers,CAT 793,79L,Universal,CAT793,AHS,ore_direct_crusher,3771039.2358,61916,50,0.2562800000,Prototype uses v1 direct crusher ratio by mode; ore/waste split not yet confirmed.,partial
2026-01-01,2026-01-31,31,Jan 2026 Actual,actual,Roy Hill Mine,Haulers,CAT 793,79L,Universal,CAT793,AHS,unknown,10943488.7642,61916,50,0.7437200000,"Remaining tonnes are not split into ore, waste and ROM until material/destination logic is rebuilt.",unknown
2026-01-01,2026-01-31,31,Jan 2026 Actual,actual,Roy Hill Mine,Haulers,CAT 793,79L,Universal,CAT793,CONV,ore_direct_crusher,89201.3733,3777,3,0.0995290000,Prototype uses v1 direct crusher ratio by mode; ore/waste split not yet confirmed.,partial
2026-01-01,2026-01-31,31,Jan 2026 Actual,actual,Roy Hill Mine,Haulers,CAT 793,79L,Universal,CAT793,CONV,unknown,807033.6267,3777,3,0.9004710000,"Remaining tonnes are not split into ore, waste and ROM until material/destination logic is rebuilt.",unknown
