"activity_date","source_type","fleet_display_name","ahs_mode","actual_tonnes","cycle_count","source_truck_count_observed","truck_count","calendar_hours","not_required_hours","required_hours","cyclone_standby_hours","scheduled_maintenance_hours","unscheduled_maintenance_hours","available_hours","operational_standby_hours","operating_hours","operating_delay_hours","payload_from_quantity_per_cycle","quantity_reporting_avg","payload","loaded_distance_km","loaded_speed_kph","empty_distance_km","empty_speed_kph","queue_load_minutes","spot_load_minutes","loaded_travel_minutes","truck_loading_minutes","queue_dump_minutes","spot_dump_minutes","dumping_minutes","empty_travel_minutes","plan_model_scope","source_gross_cycle_minutes","source_availability_pct"
"2025-05-01","actual","CAT793","AHS","315041.0000","1331","26","26","498.658056","0.000000","498.658056",,"0.691389","25.303611","472.663056","0.038333","472.624722","85.180556","236.694966190833959429","236.69496619","232.34981217","2.5007555","26.108471591779555","2.6000945","27.10250345704518","3.083634992458522","0.9571265678449259","5.746997845988153","2.9816733067729086","1.439103448275862","0.7","0.8075210084033613","5.756135046611237",,,
"2025-05-01","actual","CAT793","CONV","246641.0000","1037","22","22","420.660833","0.000000","420.660833",,"33.136389","33.824444","353.700000","10.776111","342.923889","14.162778","237.840887174541947927","237.84088717","244.70935391","3.1637881","23.47442897766584","3.3714148","29.820085231807898","2.8735645041014166","0.6515151515151516","8.086556064073227","3.2323152337858216","1.2639118457300276","0.42115768463073855","0.7485943775100401","6.783511396011396",,,
"2025-05-01","actual","EH4000","CONV","195118.0000","857","16","16","300.217500","0.000000","300.217500",,"0.000000","0.000000","300.217500","6.289444","293.928056","29.460278","227.675612602100350058","227.67561260","229.97047841","3.4401019","33.26881142159388","3.5116873","35.5797331104523","2.4894329896907217","0.6289473684210526","6.204192611041926","3.095725441841348","2.1843957503320057","0.5589633856395626","1.1032632501095052","5.921945432977462",,,
"2025-05-01","actual","EH5000","AHS","109416.0000","376","7","7","145.851111","0.000000","145.851111",,"0.000000","0.141389","145.709722","0.361944","145.347778","34.472500","291.000000000000000000","291.00000000","296.76914894","2.6566862","25.518106487174826","2.7745440","35.45682875350497","3.1906666666666665","0.7725274725274726","6.2465909090909095","2.4125352112676053","2.097951582867784","0.7113588110403397","1.6862103174603176","4.695079787234042",,,
"2025-05-01","actual","EH5000","CONV","226746.0000","781","12","12","196.397500","0.000000","196.397500",,"0.834167","5.898611","189.664722","4.247500","185.417222","11.467500","290.327784891165172855","290.32778489","285.16952625","2.0840839","22.19599395837977","2.1199974","28.917886822432667","2.4302588996763754","0.6295238095238095","5.633675799086758","2.626792963464141","2.8425490196078433","0.4772926963207029","1.338316878232252","4.398656263545731",,,
"2025-05-02","actual","CAT793","AHS","289389.0000","1221","25","25","457.898611","0.000000","457.898611",,"0.000000","12.643889","445.254722","0.347222","444.907500","102.117778","237.009828009828009828","237.00982801","234.45890074","2.1735587","23.611900214319878","2.2894749","24.709991735381568","3.9067629179331305","1.0466666666666666","5.523211635500148","3.300910425844347","1.637141444114738","0.6893114241001564","0.7450789229340761","5.559228650137741",,,
"2025-05-02","actual","CAT793","CONV","241482.0000","1014","23","23","430.321944","0.000000","430.321944",,"9.000000","12.383889","408.938056","12.266944","396.671111","56.911667","238.147928994082840237","238.14792899","244.38954635","3.6776159","26.23067390846454","3.7907091","32.33267781771502","3.087939032471836","0.6312954876273654","8.41217251108424","2.9901972386587774","0.8208860759493671","0.3973997493734336","0.7525982256020279","7.034448160535117",,,
"2025-05-02","actual","EH4000","CONV","184798.0000","811","15","15","356.732778","0.000000","356.732778",,"81.808056","3.194722","271.730000","8.821389","262.908611","36.301944","227.864364981504315660","227.86436498","231.33230580","2.4986173","31.0758068115563","2.5844502","32.26642181070635","2.3401960784313727","0.6682264586943963","4.8242363877822045","3.21664493698392","1.54463986599665","0.6419251600196947","1.0812213039485767","4.805832295558322",,,
"2025-05-02","actual","EH5000","AHS","100395.0000","345","6","6","133.557778","0.000000","133.557778",,"0.000000","20.032500","113.525278","0.105278","113.420000","19.485833","291.000000000000000000","291.00000000","299.91282799","3.1269275","33.39061466370651","3.1598116","39.43257869041002","2.3224310776942354","0.8172705314009662","5.6188139059304705","2.070606060606061","1.1981262327416173","0.701153039832285","1.3903174603174604","4.807920310981535",,,
"2025-05-02","actual","EH5000","CONV","213795.0000","735","14","14","241.917778","0.000000","241.917778",,"0.552222","17.224167","224.141389","5.261111","218.880278","27.078056","290.877551020408163265","290.87755102","288.51877551","2.5005858","24.844357533142333","2.6305522","30.5528218527805","2.4955586080586083","0.5974060822898032","6.039002932551319","2.8443961352657","1.8426666666666667","0.5151421188630491","1.2400050735667174","5.16591013296653",,,
"2025-05-03","actual","CAT793","AHS","334634.0000","1412","25","25","484.571111","0.000000","484.571111",,"0.000000","3.519167","481.051944","0.000000","481.051944","67.183889","236.992917847025495751","236.99291785","233.99114731","2.5291520","26.197231961043745","2.9418684","30.87073994899471","3.7221926320461605","0.978709563994374","5.792563131313131","2.8525506376594145","1.8032748538011696","0.7011155913978495","0.7314011566771819","5.717780146884624",,,
"2025-05-03","actual","CAT793","CONV","279862.0000","1174","25","25","450.123889","0.000000","450.123889",,"0.000000","18.974444","431.149444","16.398056","414.751389","17.381389","238.383304940374787053","238.38330494","245.20689949","3.7946838","26.940790539355234","3.8764620","31.837056547216925","3.0747028862478776","0.7032875572201415","8.451163586584531","3.007353433835846","1.980518018018018","0.44966198647945915","0.7681996434937611","7.305566067486597",,,
"2025-05-03","actual","EH4000","CONV","195378.0000","859","14","14","254.219444","0.000000","254.219444",,"0.266111","1.210556","252.742778","6.152500","246.590278","19.832222","227.448195576251455180","227.44819558","229.85238650","2.1174994","28.398627225474915","2.2794311","31.034869302356995","2.7653482082488168","0.6855805243445693","4.473806532663317","3.168744804655029","1.6325068870523416","0.6194089834515367","1.082012987012987","4.406845238095238",,,
"2025-05-03","actual","EH5000","AHS","112908.0000","388","7","7","120.630000","0.000000","120.630000",,"0.000000","1.553889","119.076111","0.000000","119.076111","9.948056","291.000000000000000000","291.00000000","302.78814433","3.6209691","33.19757079052291","3.6830593","43.79786506248936","2.8635458167330676","0.8531481481481482","6.544398907103825","1.9187387387387387","1.5898635477582845","0.6980531813865147","1.6733143399810066","5.045532646048111",,,
"2025-05-03","actual","EH5000","CONV","235377.0000","809","13","13","195.368333","0.000000","195.368333",,"0.000000","0.770000","194.598333","4.285833","190.312500","11.744444","290.948084054388133498","290.94808405","289.94153276","2.3053696","25.219808317814632","2.4312153","32.90995924741667","1.9465686274509804","0.5476422764227642","5.4846640488656195","2.4241699008193183","2.166862745098039","0.5018301610541728","1.3442652329749103","4.43248552522746",,,
"2025-05-04","actual","CAT793","AHS","273411.0000","1149","23","23","459.450000","0.000000","459.450000",,"0.000000","34.271667","425.178333","0.963333","424.215000","75.080556","237.955613577023498695","237.95561358","230.84395126","2.5745300","27.047126418059957","2.8723924","28.790311466604255","3.5771374458874456","1.0659608378870675","5.711209302325582","2.9964888071143823","1.1526542324246771","0.7087844739530132","0.7489310009718173","5.986164623467601",,,
"2025-05-04","actual","CAT793","CONV","305766.0000","1290","28","28","657.812222","0.000000","657.812222",,"162.576667","61.183889","434.051667","14.557500","419.494167","16.668889","237.027906976744186047","237.02790698","243.43426357","3.4711323","27.601428512192363","3.5540197","31.09428022386592","3.2363422661024916","0.7343956043956045","7.545549242424243","2.9503575870646768","1.1614379084967321","0.4112084702446148","0.7623188405797101","6.857890919640267",,,
"2025-05-04","actual","EH4000","CONV","211616.0000","931","15","15","294.532500","0.000000","294.532500",,"0.000000","3.651389","290.881111","4.586944","286.294167","23.235000","227.299677765843179377","227.29967777","228.47303974","2.2685070","27.755006210912228","2.4447991","29.974222614842063","3.0439229843561977","0.7600641907381934","4.903995299647474","3.2774498456790124","2.3673095944609295","0.5744430162810625","1.0870077141697116","4.893803181650018",,,
"2025-05-04","actual","EH5000","AHS","172563.0000","593","12","12","223.291667","0.000000","223.291667",,"19.830556","15.312500","188.148611","0.000000","188.148611","20.719444","291.000000000000000000","291.00000000","300.42731872","3.5538398","31.601910297085833","3.6759459","42.69191715973994","3.2684415584415585","0.825896860986547","6.74738919247116","2.244695599758891","1.5682993197278912","0.6760456273764259","1.8132640201638313","5.16624149659864",,,
