period_month,site_location,equipment_type,operational_equipment_class,fleet_ident,fleet_specific,ahs_mode,tum_equipment_count,cycle_truck_count,cycle_count,actual_tonnes,payload_avg,empty_distance_avg,haul_distance_avg,calendar_hours,not_required_hours,required_hours,scheduled_hours,scheduled_maintenance_hours,unscheduled_maintenance_hours,available_hours,operating_hours,operational_standby_hours,operating_delay_hours,working_hours,productive_hours,non_productive_hours,full_rate_productive_hours,availability_current,working_of_available,productive_of_working,cycle_seconds,cycle_minutes,baseline_rate_tph,baseline_modelled_tonnes,baseline_tonnes_per_truck_month,direct_crusher_ratio_mode,direct_crusher_ratio_scope,created_at
2024-01-01,Demo Mine Site,Haulers,CAT 793,DemoFleet,Demo,AHS,42,42,61916,12847254.396800,217.620317,2.8852182,2.7218362,33489.104861,0.002433,33489.102428,30694.925519,2794.176910,2851.055416,27843.870103,27023.028627,820.841476,3357.145804,23665.882822,18966.553163,4699.329660,18966.553163,0.8314307665396242,0.8499494766814792,0.8014301982759203,1556.099781,26.875643879823368,473.610930,12798401.718984,255968.034380,0.256280,0.247281,2024-01-01T00:00:00.000Z
2024-01-01,Demo Mine Site,Haulers,CAT 793,DemoFleet,Demo,CONV,3,3,3777,782502.778500,216.748327,2.6983367,2.5423201,2031.135952,0.000000,2031.135952,1786.330482,244.805470,215.955488,1570.374994,1418.775205,151.599790,124.636540,1294.138664,1015.710427,278.428237,1015.710427,0.7731510993420211,0.8240953079792186,0.78485440153995,1365.294111,23.580209168550862,537.637134,762786.234835,254262.078278,0.099529,0.247281,2024-01-01T00:00:00.000Z
